Product Name,Product ID,Variation Name,Variation SKU,Variation ID,Metrotown,Richmond Center
Bird Hug Sticker,UQSABDR7QAXTKOISJTDNDOO7,Bird Hug Sticker,JH240-S03,5SFHJSVMCIT6L6NHBCRPXAWB,20,20
Bunny Hug Sticker,YPSHTN7D2P44JWDTNX57IRNQ,Bunny Hug Sticker,JH240-S02,5M6U7K4J7MEP6J466SPSK7SG,20,20
Corgi Bathing Sticker,B6TXGJFRB5BAEDXQRSHPEIHB,Corgi Bathing Sticker,JH240-S76,Y2Z4YH25LS7XIKONOJ66W4IG,20,20
Corgi Bubble Tea Sticker,ZKTR73RTNFVIDS6WMUHJFI6I,Corgi Bubble Tea Sticker,JH240-S68,3BZTWQR4EFBA7DFALDJY7LAR,20,20
Corgi Butt Sticker,IIZR2XTKPW2JF4VR6MXOTKC4,Corgi Butt Sticker,JH240-S49,R23MCFB4HE5GTJRB3PP5KON6,20,20
Corgi Hot Tea Sticker,N2MUVSUVB6P42ZQQYTKSBYSR,Corgi Hot Tea Sticker,JH240-S74,E4KLMJ4DVL5PTPHJ75NMUD5Q,20,20
Corgi Hotdog Sticker,PW5LFTI2UFDAU2CU2SUJS723,Corgi Hotdog Sticker,JH240-S69,DZ22YJR4KIWVPO3BMIOHYF2C,20,20
Corgi Nigiri Sticker,THGZDUJ4HKHC3ARZEFPLOKLG,Corgi Nigiri Sticker,JH240-S73,QAUU4AML3QBPQP62PSWAEYSY,20,20
Corgi on Vacation Sticker,6FHW6BZBDPWBBMC3LDDGZT3Y,Corgi on Vacation Sticker,JH240-S75,MX2A7XTD2RAO4WEA2CSDL6PT,20,20
Corgi Pooping Sticker,GCQERBUZUSZZBW2ZB6NZ2UKB,Corgi Pooping Sticker,JH240-S72,O5APRSU7T3QQCCLDMUI7V4P4,20,20
Corgi Side Eye Sticker,BH2MEKVH7AWHJGINOBDFRBNY,Corgi Side Eye Sticker,JH240-S71,XDI2KEZHIIC24ADWGES5VA75,20,20
Corgi Sleeping Sticker,HTJ4JGVSKJ2CPFUS5APCPOHU,Corgi Sleeping Sticker,JH240-S70,ZJCN4IZ3WLQRNNYXM3GYUDQ4,20,20
Diving (Explorer) Penguin Sticker,VONXHW67ZFDJAKE4MLN25NDA,Diving (Explorer) Penguin Sticker,JH240-S40,RIEVEGDYIDOFWZGRHAQQ6B2L,20,20
Diving (Floating) Penguin Sticker,4VW5S7AZNKRDI4UQV7SGD256,Diving (Floating) Penguin Sticker,JH240-S41,EAZ7TZ7FY2Z77LVJFBC5LTLJ,20,20
Kitty Hug Sticker,HNTNVZTTHNRCFWISWKLPHOCU,Kitty Hug Sticker,JH240-S01,SK5YKFAZ2PXMVXSW43QOZAIE,20,20
Koala Hug Sticker,US3IFWR6P5RON3B6FUFFA7NP,Koala Hug Sticker,JH240-S09,WNBTBGQZWOKO5LS67PZSEQVX,20,20
Mother's day Penguin Sticker,JTRWR4DBMTZ3XW4XXI73ANGK,Mother's day Penguin Sticker,JH240-S34,LXH3CDSLBUMDLVSZLOWZKPFG,20,20
Mother's Day Puppy Pack Sticker,2EGGASZBGR32UHM5SEYNLIBC,Mother's Day Puppy Pack Sticker,JH240-S33,I3L2WYUSISO77BUILHCQA7SG,20,20
Panda Hug Sticker,OWFMFYOLFKNN6YP7OCGM7C3T,Panda Hug Sticker,JH240-S08,GIZ5Z6S6ANX5XP2W4J46GO7Y,20,20
Penguin Hug Sticker,UG4XB4KJO4DGVY26KMEHH2TO,Penguin Hug Sticker,JH240-S10,DRTP3QPRZDEQNZTBQCE3BGWF,20,20
Penguin Summer Surf Sticker,DV3B4BYS4Y726D3JDGEZLQ4C,Penguin Summer Surf Sticker,JH240-S37,AUUMWRK4SY7CIJLTP5R6OIBZ,20,20
Penguin with a Cactus Sticker,ADQ4FBX4SSR46VOXEQQG2OWM,Penguin with a Cactus Sticker,JH240-S43,KT7W2SXOIRUZCGYZHGPQADLL,20,20
Piggy Hug Sticker,W2AOEYQCQQU7F42P6DY5GQEZ,Piggy Hug Sticker,JH240-S04,W4CL55A3RVDFDI7ZR66YYGAR,20,20
Pool Corgi Sticker,S6YMI664RQKRVJRLG6QTA2LW,Pool Corgi Sticker,JH240-S50,2KIEW3VB5Q2UPJGB5MT22KKS,20,20
Puppy Hug Sticker,GNMNFZKIWO3CQDMU2CDCMWGX,Puppy Hug Sticker,JH240-S06,2WGBFTARD4Q5WW37RRSAL4N6,20,20
Sea Otter Hug Sticker,VKQA5LT4BCU4M5GRGKO6E3OG,Sea Otter Hug Sticker,JH240-S07,B2NYKSDRWO7MRH5K3RDBFPP4,20,20
Sheep Hug Sticker,TRTUV5IRMMVVHSWZQ7OKLK6I,Sheep Hug Sticker,JH240-S05,QXZYGFBKOCTXF2KUDP5M3BNY,20,20
Watermelon Fruit Punch Sticker,PRFISMMMSDJ66DUJBZ4ZW5LG,Watermelon Fruit Punch Sticker,JH240-S47,BFSIF2EVKAHECVL4IENEAKXD,20,20
