Product Name,Product ID,Variation Name,Variation SKU,Variation ID,Metrotown,Richmond Center
Black Candle,UV26PBLKACJE25DQC2RUBLWB,Black Candle,Candle-4,C27XWSIJSRZEGX4MYNQACB7R,0,-2
Blue Candle,7CKNTEXZ6HPNQZ3LE3NVPJ44,Blue Candle,Candle-1,IHIWQWQJZIQF73QNM4FYZ6GU,0,0
Blue Candle,7CKNTEXZ6HPNQZ3LE3NVPJ44,Blue Candle,Candle-1,IHIWQWQJZIQF73QNM4FYZ6GU,0,0
Grey Candle,Z6NKLAMXZXZTXVXUQOSRKUYZ,Grey Candle,Candle-5,EVOC5N3EE5DNRTTN6FSRRTKP,0,0
Grey Candle,Z6NKLAMXZXZTXVXUQOSRKUYZ,Grey Candle,Candle-5,EVOC5N3EE5DNRTTN6FSRRTKP,0,0
Red Candle,BOWAIWB2US3NAKPULIAELWR3,Red Candle,Candle-2,VX4X7PH2S5M7THG3JAJPTKLZ,0,0
Red Candle,BOWAIWB2US3NAKPULIAELWR3,Red Candle,Candle-2,VX4X7PH2S5M7THG3JAJPTKLZ,0,0
White Candle,UPNV42BAS4Z3IVUCEYDOQZOZ,White Candle,Candle-6,XCIAJTYESP64BLRJFBKVC25G,0,0
White Candle,UPNV42BAS4Z3IVUCEYDOQZOZ,White Candle,Candle-6,XCIAJTYESP64BLRJFBKVC25G,0,0
Yellow Candle,GOEV6S677G4FEEBK6LC5QCQS,Yellow Candle,Candle-3,2VZUKB6FWYUEXYS54QURNXHX,0,0
Yellow Candle,GOEV6S677G4FEEBK6LC5QCQS,Yellow Candle,Candle-3,2VZUKB6FWYUEXYS54QURNXHX,0,0
