Product Name,Product ID,Variation Name,Variation SKU,Variation ID,Metrotown,Richmond Center
Bird Hug Sticker,UQSABDR7QAXTKOISJTDNDOO7,Bird Hug Sticker,JH240-S03,5SFHJSVMCIT6L6NHBCRPXAWB,47,10
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Small,JH240-02S,B6RSP2PW65UHNQWE3KFDLGLS,17,-1
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Medium,JH240-02M,DZBE5VNBLKPRTQVQJ47VICZW,17,11
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Large,JH240-02L,ITGZCKMTV56EXIQ6ADJGWB6U,18,12
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,2XL,JH240-02X,A3IMZQZPEYDEOY7USQKKT7DW,17,13
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,4XL,JH240-02Z,KMYIFU6GYTBAMBG3AESEUZ2J,18,13
Bunny Hug Sticker,YPSHTN7D2P44JWDTNX57IRNQ,Bunny Hug Sticker,JH240-S02,5M6U7K4J7MEP6J466SPSK7SG,49,51
Bunny Sweater,G3YDSUZW3SDRTNBKGD75TZE6,Small,JH240-05S,MCQW5PK7SC27OCWXQRQ36NS7,18,10
Bunny Sweater,G3YDSUZW3SDRTNBKGD75TZE6,Medium,JH240-05M,WVKHL2AAEP6LB64Z2I5DC3KW,18,10
Bunny Sweater,G3YDSUZW3SDRTNBKGD75TZE6,Large,JH240-05L,EUNPJSKNHSJ4AAZD3VZV55LZ,19,12
Bunny Sweater,G3YDSUZW3SDRTNBKGD75TZE6,2XL,JH240-05X,Y3JI77FJMFQHCTGFHRQEJTA2,18,12
Bunny Sweater,G3YDSUZW3SDRTNBKGD75TZE6,4XL,JH240-05Z,F46VKV7JSSMDRFPL35AXJKJO,17,11
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,Small,JH240-06S,YPYPDZ637JSFWP4EOY6G52L3,19,12
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,Medium,JH240-06M,AVKOMKBZHA4QRLJUQ6Z2OGJQ,19,12
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,Large,JH240-06L,XVIO33SGOHXRYHJIZNVYRPMQ,18,13
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,XL,JH240-06W,HWVKOMUBZGTE4RSOB52GHEO4,19,12
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,2XL,JH240-06X,GIWPBNQ3U7FE67PSS4SOOJZQ,18,11
Bunny TShirt,Y4UTTMXKUHE4B4JRTH4WQ7FD,3XL,JH240-06Y,AEZTPZRCXQII7MY37YCPZU2V,18,11
Corgi Bathing Sticker,B6TXGJFRB5BAEDXQRSHPEIHB,Corgi Bathing Sticker,JH240-S76,Y2Z4YH25LS7XIKONOJ66W4IG,20,18
Corgi Bubble Tea Sticker,ZKTR73RTNFVIDS6WMUHJFI6I,Corgi Bubble Tea Sticker,JH240-S68,3BZTWQR4EFBA7DFALDJY7LAR,20,14
Corgi Butt Sticker,IIZR2XTKPW2JF4VR6MXOTKC4,Corgi Butt Sticker,JH240-S49,R23MCFB4HE5GTJRB3PP5KON6,19,18
Corgi Hot Tea Sticker,N2MUVSUVB6P42ZQQYTKSBYSR,Corgi Hot Tea Sticker,JH240-S74,E4KLMJ4DVL5PTPHJ75NMUD5Q,19,16
Corgi Hotdog Sticker,PW5LFTI2UFDAU2CU2SUJS723,Corgi Hotdog Sticker,JH240-S69,DZ22YJR4KIWVPO3BMIOHYF2C,14,20
Corgi Nigiri Sticker,THGZDUJ4HKHC3ARZEFPLOKLG,Corgi Nigiri Sticker,JH240-S73,QAUU4AML3QBPQP62PSWAEYSY,40,19
Corgi on Vacation Sticker,6FHW6BZBDPWBBMC3LDDGZT3Y,Corgi on Vacation Sticker,JH240-S75,MX2A7XTD2RAO4WEA2CSDL6PT,20,18
Corgi Pooping Sticker,GCQERBUZUSZZBW2ZB6NZ2UKB,Corgi Pooping Sticker,JH240-S72,O5APRSU7T3QQCCLDMUI7V4P4,20,19
Corgi Side Eye Sticker,BH2MEKVH7AWHJGINOBDFRBNY,Corgi Side Eye Sticker,JH240-S71,XDI2KEZHIIC24ADWGES5VA75,69,19
