productName,variationName,variationSku,variationPrice,productId,variationId
Bird Hug Sticker,Bird Hug Sticker,JH240-S03,5,UQSABDR7QAXTKOISJTDNDOO7,5SFHJSVMCIT6L6NHBCRPXAWB
Blue Corgi Butt Sweater,Small,JH240-02S,45,4GYSOEBLVW7MQPZAVDSMC2MU,B6RSP2PW65UHNQWE3KFDLGLS
Blue Corgi Butt Sweater,Medium,JH240-02M,45,4GYSOEBLVW7MQPZAVDSMC2MU,DZBE5VNBLKPRTQVQJ47VICZW
Blue Corgi Butt Sweater,Large,JH240-02L,45,4GYSOEBLVW7MQPZAVDSMC2MU,ITGZCKMTV56EXIQ6ADJGWB6U
Blue Corgi Butt Sweater,2XL,JH240-02X,45,4GYSOEBLVW7MQPZAVDSMC2MU,A3IMZQZPEYDEOY7USQKKT7DW
Blue Corgi Butt Sweater,4XL,JH240-02Z,45,4GYSOEBLVW7MQPZAVDSMC2MU,KMYIFU6GYTBAMBG3AESEUZ2J
Bunny Hug Sticker,Bunny Hug Sticker,JH240-S02,5,YPSHTN7D2P44JWDTNX57IRNQ,5M6U7K4J7MEP6J466SPSK7SG
Bunny Sweater,Small,JH240-05S,45,G3YDSUZW3SDRTNBKGD75TZE6,MCQW5PK7SC27OCWXQRQ36NS7
Bunny Sweater,Medium,JH240-05M,45,G3YDSUZW3SDRTNBKGD75TZE6,WVKHL2AAEP6LB64Z2I5DC3KW
Bunny Sweater,Large,JH240-05L,45,G3YDSUZW3SDRTNBKGD75TZE6,EUNPJSKNHSJ4AAZD3VZV55LZ
Bunny Sweater,2XL,JH240-05X,45,G3YDSUZW3SDRTNBKGD75TZE6,Y3JI77FJMFQHCTGFHRQEJTA2
Bunny Sweater,4XL,JH240-05Z,45,G3YDSUZW3SDRTNBKGD75TZE6,F46VKV7JSSMDRFPL35AXJKJO
Bunny TShirt,Small,JH240-06S,35,Y4UTTMXKUHE4B4JRTH4WQ7FD,YPYPDZ637JSFWP4EOY6G52L3
Bunny TShirt,Medium,JH240-06M,35,Y4UTTMXKUHE4B4JRTH4WQ7FD,AVKOMKBZHA4QRLJUQ6Z2OGJQ
Bunny TShirt,Large,JH240-06L,35,Y4UTTMXKUHE4B4JRTH4WQ7FD,XVIO33SGOHXRYHJIZNVYRPMQ
Bunny TShirt,XL,JH240-06W,35,Y4UTTMXKUHE4B4JRTH4WQ7FD,HWVKOMUBZGTE4RSOB52GHEO4
