productName,variationName,variationSku,variationPrice,productId,variationId,status,message
Penguin Summer Surf Sticker,,JH240-S37,500,DV3B4BYS4Y726D3JDGEZLQ4C,AUUMWRK4SY7CIJLTP5R6OIBZ,OK,Item successfully created.
Diving (Explorer) Penguin Sticker,,JH240-S40,500,VONXHW67ZFDJAKE4MLN25NDA,RIEVEGDYIDOFWZGRHAQQ6B2L,OK,Item successfully created.
Diving (Floating) Penguin Sticker,,JH240-S41,500,4VW5S7AZNKRDI4UQV7SGD256,EAZ7TZ7FY2Z77LVJFBC5LTLJ,OK,Item successfully created.
Penguin with a Cactus Sticker,,JH240-S43,500,ADQ4FBX4SSR46VOXEQQG2OWM,KT7W2SXOIRUZCGYZHGPQADLL,OK,Item successfully created.
Watermelon Fruit Punch Sticker,,JH240-S47,500,PRFISMMMSDJ66DUJBZ4ZW5LG,BFSIF2EVKAHECVL4IENEAKXD,OK,Item successfully created.
Corgi Butt Sticker,,JH240-S49,500,IIZR2XTKPW2JF4VR6MXOTKC4,R23MCFB4HE5GTJRB3PP5KON6,OK,Item successfully created.
Pool Corgi Sticker,,JH240-S50,500,S6YMI664RQKRVJRLG6QTA2LW,2KIEW3VB5Q2UPJGB5MT22KKS,OK,Item successfully created.
Corgi Bubble Tea Sticker,,JH240-S68,500,ZKTR73RTNFVIDS6WMUHJFI6I,3BZTWQR4EFBA7DFALDJY7LAR,OK,Item successfully created.
Corgi Hotdog Sticker,,JH240-S69,500,PW5LFTI2UFDAU2CU2SUJS723,DZ22YJR4KIWVPO3BMIOHYF2C,OK,Item successfully created.
Corgi Sleeping Sticker,,JH240-S70,500,HTJ4JGVSKJ2CPFUS5APCPOHU,ZJCN4IZ3WLQRNNYXM3GYUDQ4,OK,Item successfully created.
Corgi Side Eye Sticker,,JH240-S71,500,BH2MEKVH7AWHJGINOBDFRBNY,XDI2KEZHIIC24ADWGES5VA75,OK,Item successfully created.
Corgi Pooping Sticker,,JH240-S72,500,GCQERBUZUSZZBW2ZB6NZ2UKB,O5APRSU7T3QQCCLDMUI7V4P4,OK,Item successfully created.
Corgi Nigiri Sticker,,JH240-S73,500,THGZDUJ4HKHC3ARZEFPLOKLG,QAUU4AML3QBPQP62PSWAEYSY,OK,Item successfully created.
Corgi Hot Tea Sticker,,JH240-S74,500,N2MUVSUVB6P42ZQQYTKSBYSR,E4KLMJ4DVL5PTPHJ75NMUD5Q,OK,Item successfully created.
Corgi on Vacation Sticker,,JH240-S75,500,6FHW6BZBDPWBBMC3LDDGZT3Y,MX2A7XTD2RAO4WEA2CSDL6PT,OK,Item successfully created.
Corgi Bathing Sticker,,JH240-S76,500,B6TXGJFRB5BAEDXQRSHPEIHB,Y2Z4YH25LS7XIKONOJ66W4IG,OK,Item successfully created.
