productName,variationName,variationSku,variationPrice,productId,variationId
Kitty Hug Sticker,,JH240-S01,5,,
Bunny Hug Sticker,,JH240-S02,5,,
Bird Hug Sticker,,JH240-S03,5,,
Piggy Hug Sticker,,JH240-S04,5,,
Sheep Hug Sticker,,JH240-S05,5,,
Puppy Hug Sticker,,JH240-S06,5,,
Sea Otter Hug Sticker,,JH240-S07,5,,
Panda Hug Sticker,,JH240-S08,5,,
Koala Hug Sticker,,JH240-S09,5,,
Penguin Hug Sticker,,JH240-S10,5,,
Mother's Day Puppy Pack Sticker,,JH240-S33,5,,
Mother's day Penguin Sticker,,JH240-S34,5,,
Penguin Summer Surf Sticker,,JH240-S37,5,,
Diving (Explorer) Penguin Sticker,,JH240-S40,5,,
Diving (Floating) Penguin Sticker,,JH240-S41,5,,
Penguin with a Cactus Sticker,,JH240-S43,5,,
Watermelon Fruit Punch Sticker,,JH240-S47,5,,
Corgi Butt Sticker,,JH240-S49,5,,
Pool Corgi Sticker,,JH240-S50,5,,
Corgi Bubble Tea Sticker,,JH240-S68,5,,
Corgi Hotdog Sticker,,JH240-S69,5,,
Corgi Sleeping Sticker,,JH240-S70,5,,
Corgi Side Eye Sticker,,JH240-S71,5,,
Corgi Pooping Sticker,,JH240-S72,5,,
Corgi Nigiri Sticker,,JH240-S73,5,,
Corgi Hot Tea Sticker,,JH240-S74,5,,
Corgi on Vacation Sticker,,JH240-S75,5,,
Corgi Bathing Sticker,,JH240-S76,5,,
