productName,variationName,variationSku,variationPrice,productId,variationId,status,message
Kitty Hug Sticker,,JH240-S01,500,DTHECMNE4RX6Q4Y6RLFLC2UJ,Q3DRENC6ZGHVGOEJFQSAGFBT,OK,Item successfully created.
Bunny Hug Sticker,,JH240-S02,500,SIRVXQQ3FTSHD5NCKWJR7WMR,EFPQ37DHYQRP6CLS4DCYPJGI,OK,Item successfully created.
Bird Hug Sticker,,JH240-S03,500,B7L4IIWG5UNOTSIX74MSNPCF,RVE6MZZOWRR63327GRH22H4Q,OK,Item successfully created.
Piggy Hug Sticker,,JH240-S04,500,GWRLATSPMOBJGWH4DKXBWA6M,XOOPNIIRKT6J3XW6RLAXSHVF,OK,Item successfully created.
Sheep Hug Sticker,,JH240-S05,500,KI6EWRLFZSQNJRWQ4RZP3TOG,P4XHTTKATBJJQ6IQC6EDF2HS,OK,Item successfully created.
Puppy Hug Sticker,,JH240-S06,500,QTGT7KQINFWNFXVZMS3HVSS4,DW6HJZGOLIY3XNUBRIY6PDPP,OK,Item successfully created.
Sea Otter Hug Sticker,,JH240-S07,500,QUL6FTJ2J7IU6TGHAFME3R3D,K3TTSRTUTHE4B75FSWLOBQGE,OK,Item successfully created.
Panda Hug Sticker,,JH240-S08,500,GI45UXFEMVUPF236OR735QXB,B35XWPNWEVTUBZ2RXB673Z54,OK,Item successfully created.
Koala Hug Sticker,,JH240-S09,500,TAUSGXXRQV3P2D4E5WLH4DSZ,Y6ADGY4WR5Q2YEKUS4KPDVMK,OK,Item successfully created.
Penguin Hug Sticker,,JH240-S10,500,JJIWPQ5WIFLHKOGYTL3LVPCK,QGF3QOOU6FTYVYPCZJGHRUV5,OK,Item successfully created.
Mother's Day Puppy Pack Sticker,,JH240-S33,500,RTGUK32YC6J6H2WPC2JIVAQS,57FV6UHW5TOD722L33BURWBD,OK,Item successfully created.
Mother's day Penguin Sticker,,JH240-S34,500,RSKSZNVDI5MVKNADI25IHM5Y,KJ572OO3V6UD624DCBNQDMMO,OK,Item successfully created.
Penguin Summer Surf Sticker,,JH240-S37,500,CZXCHU4QY6UA5SK4RGXS4LGB,LJQXG3F7IZKYEO45FNAVMCRK,OK,Item successfully created.
Diving (Explorer) Penguin Sticker,,JH240-S40,500,GVQ2VMGLDVNR3CVTBJBDJSUE,RWOXHTDKR2OP46TWTE22ORNI,OK,Item successfully created.
Diving (Floating) Penguin Sticker,,JH240-S41,500,KFTTZCE57BHTPNGHCHX4WYPW,RR77KS363LXMDWXH6RXCRZAN,OK,Item successfully created.
Penguin with a Cactus Sticker,,JH240-S43,500,CLJ65VQGS54ZCRLYHPHMU7QK,MVPMVGS63R3BZ7K2GTMQODQJ,OK,Item successfully created.
Watermelon Fruit Punch Sticker,,JH240-S47,500,7ASHBEWAIE6476W56OAAIBH7,WRZPDR5HTN3L37T4DASZKECQ,OK,Item successfully created.
Corgi Butt Sticker,,JH240-S49,500,NZA4ZMGJ4R6XT7VXIXT5O24Y,LZHG6A6ZMV3NSUL3TKTIRZ77,OK,Item successfully created.
Pool Corgi Sticker,,JH240-S50,500,OBWXHLV7GTRUDJXGCOXUEFXZ,X2FFMQH7R3KNUUPMQTIR7JEO,OK,Item successfully created.
Corgi Bubble Tea Sticker,,JH240-S68,500,FSY5OJRKYVIE34M7GA44XDLV,6EYR5OFVI4Y22CZ2U4YF2DQT,OK,Item successfully created.
Corgi Hotdog Sticker,,JH240-S69,500,WI2FMHKOODZFZW4JR4LKOCHF,KE7GC4ZRD57R5CB2H6JHPC4J,OK,Item successfully created.
Corgi Sleeping Sticker,,JH240-S70,500,4OWZWDJR34YPWQ3F5EYOODOS,CV4RUYG3D326C2D2W73LDB2T,OK,Item successfully created.
Corgi Side Eye Sticker,,JH240-S71,500,S6IHT4MIZ2QBUOAFF4DU6OSU,ITILIZU26JG6SJ7T7ZVQENV3,OK,Item successfully created.
Corgi Pooping Sticker,,JH240-S72,500,RABWSNMDTZDQ5F5XGVNBQIOQ,3WSLXON75XZW4LV2EH4CMOEM,OK,Item successfully created.
Corgi Nigiri Sticker,,JH240-S73,500,M4WUZST7AEDQVKM7SKAKQKYH,EQZFPLJPRGAJWWIX4P3NOVAZ,OK,Item successfully created.
Corgi Hot Tea Sticker,,JH240-S74,500,HQOIZRPJYO26RNLV4X5V22JQ,7HLALBRMCDVY6ZVHGRBPOI3W,OK,Item successfully created.
Corgi on Vacation Sticker,,JH240-S75,500,OD3FLOAHNTBMBYFZRTLDJ6H5,5HRX7MVWSEI5W5R3KVMIOCJK,OK,Item successfully created.
Corgi Bathing Sticker,,JH240-S76,500,GBYVYKE46TLVFBG5QQDP4GZ2,AOMEHKLJ5IRERCLAWTA5UGWT,OK,Item successfully created.
